Id,Title,Type,Release_Year,Genres,Production_Countries,IMDB_Score,IMDB_Popularity
tm52083,WestBeirut,MOVIE,1998,Romance,FR,7.6,3.308
tm47530,Jeans,MOVIE,1998,Comedy,IN,6.4,3.393
tm57169,MontyPython:LiveatAspen,MOVIE,1998,Comedy,GB,7.8,2.681
ts22039,H,SHOW,1998,Comedy,FR,7.4,7.905
tm64729,Sinbad:Nothin'buttheFunk,MOVIE,1998,Comedy,US,6.3,1.83
tm55369,EdgeofSeventeen,MOVIE,1998,Romance,US,6.8,6.276
ts22286,CardcaptorSakura,SHOW,1998,Scifi,JP,8.0,35.757
tm56033,Croupier,MOVIE,1998,Drama,IE,7.0,8.381
tm65686,U.S.Marshals,MOVIE,1998,Thriller,US,6.5,24.205
tm49839,ThePlayersClub,MOVIE,1998,Comedy,US,5.9,9.25
tm255589,OneLastShot,MOVIE,1998,Genre Unavailable,Country Unavailable,6.5,1.89
tm56574,You'veGotMail,MOVIE,1998,Comedy,US,6.7,21.724
tm67635,KuchKuchHotaHai,MOVIE,1998,Romance,IN,7.6,12.35
tm55100,DilSe..,MOVIE,1998,Drama,IN,7.5,7.811
tm64817,JerrySeinfeld:I'mTellingYoufortheLastTime,MOVIE,1998,Comedy,US,7.9,5.822
ts25252,Yu-Gi-Oh!,SHOW,1998,Scifi,JP,7.3,33.504
tm63514,TheLastDays,MOVIE,1998,Drama,US,7.9,3.766
tm49178,Vampires,MOVIE,1998,Fantasy,US,6.1,10.108
ts34435,CowboyBebop,SHOW,1998,Animation,JP,8.9,35.402
ts20339,OnePiece,SHOW,1999,Animation,JP,8.8,143.457
tm210754,HaveYouEverSeenFireflies?-TheatrePlay,MOVIE,1999,Drama,TR,6.5,1.396
tm43808,TheTalentedMr.Ripley,MOVIE,1999,Thriller,US,7.4,13.78
tm44776,TheOther,MOVIE,1999,Romance,FR,5.9,1.12
tm42397,HelloBrother,MOVIE,1999,Comedy,IN,4.6,4.338
tm203186,ChildrenofShatila,MOVIE,1999,Documentation,LB,8.1,1.635
tm62385,HumSaathSaathHain,MOVIE,1999,Romance,IN,6.2,7.865
tm62176,Mann,MOVIE,1999,Drama,IN,6.1,2.595
tm53991,BigDaddy,MOVIE,1999,Drama,US,6.4,26.848
tm41525,Herod'sLaw,MOVIE,1999,Comedy,MX,7.8,10.506
ts20918,TheParkers,SHOW,1999,Comedy,US,6.8,5.745
ts22080,OggyandtheCockroaches,SHOW,1999,Animation,FR,7.4,40.189
tm44402,"Girl,Interrupted",MOVIE,1999,Drama,DE,7.3,20.424
tm27601,PhirBhiDilHaiHindustani,MOVIE,2000,Comedy,IN,6.1,7.778
ts20981,Survivor,SHOW,2000,Reality,US,7.4,54.19
tm19494,TheReplacements,MOVIE,2000,Comedy,US,6.6,30.982
ts21581,Girlfriends,SHOW,2000,Drama,US,7.2,12.163
ts28516,Okupas,SHOW,2000,Drama,AR,9.0,8.565
tm34391,BeforetheFlyingCircus,MOVIE,2000,Comedy,GB,7.3,1.444
tm25389,Fiza,MOVIE,2000,Romance,IN,6.0,2.835
tm25947,Snatch,MOVIE,2000,Crime,US,8.3,25.203
ts21567,GilmoreGirls,SHOW,2000,Comedy,US,8.2,58.578
tm27395,Mission:ImpossibleII,MOVIE,2000,Thriller,US,6.1,29.392
ts21034,InuYasha,SHOW,2000,Scifi,JP,7.9,62.355
ts21664,OneonOne,SHOW,2001,Comedy,US,7.0,6.204
tm61056,DilChahtaHai,MOVIE,2001,Romance,IN,8.1,5.704
tm49405,InuyashatheMovie:AffectionsTouchingAcrossTime,MOVIE,2001,Action,JP,7.2,36.262
ts67595,ElEscamoso,SHOW,2001,Drama,CO,7.5,32.626
tm36475,KabhiKhushiKabhieGham,MOVIE,2001,Drama,IN,7.4,13.699
tm57190,TheOne,MOVIE,2001,Thriller,US,5.9,21.223
tm254745,FrontiersofDreamsandFears,MOVIE,2001,Documentation,PS,8.2,0.916
tm195620,ApocalypseNowRedux,MOVIE,2001,Drama,US,6.5,4.147341
tm43399,Lagaan:OnceUponaTimeinIndia,MOVIE,2001,Romance,IN,8.1,10.097
tm42831,KyoKii...MainJhuthNahinBolta,MOVIE,2001,Comedy,IN,5.3,2.593
ts31263,TheMole,SHOW,2001,Reality,BE,7.6,2.189
ts22267,TrailerParkBoys,SHOW,2001,Comedy,CA,8.6,22.603
ts19036,TheFairlyOddParents,SHOW,2001,Comedy,CA,7.2,67.192
tm51493,Vizontele,MOVIE,2001,Comedy,TR,8.0,7.17
tm48083,Tequiero,MOVIE,2001,Drama,FR,5.0,0.967
tm44634,KevinJames:SweattheSmallStuff,MOVIE,2001,Comedy,US,7.4,1.596
tm46436,Thir13enGhosts,MOVIE,2001,Horror,CA,5.6,50.592
tm58382,NotAnotherTeenMovie,MOVIE,2001,Comedy,US,5.7,36.438
ts137477,BehindEnemyLines,SHOW,2001,Drama,US,7.2,0.6
tm35463,Blow,MOVIE,2001,Crime,US,7.5,24.348
tm112235,KannathilMuthamittal,MOVIE,2002,Drama,IN,8.4,3.739
tm112381,Comedian,MOVIE,2002,Comedy,US,6.9,4.854
ts20371,TopGear,SHOW,2002,Comedy,GB,8.7,45.549
ts20398,Kath&Kim,SHOW,2002,Comedy,AU,8.3,3.926
tm105329,RoadtoPerdition,MOVIE,2002,Thriller,US,7.7,18.739
tm114476,StuartLittle2,MOVIE,2002,Animation,US,5.5,36.691
tm118462,HalfPastDead,MOVIE,2002,Thriller,DE,4.6,12.906
ts204466,Pecadoscapitales,SHOW,2002,Romance,CO,8.5,1.791
tm118637,JohnQ,MOVIE,2002,Drama,US,7.0,32.229
ts24028,StillGame,SHOW,2002,Comedy,GB,8.9,5.128
tm114504,TheLegendofBhagatSingh,MOVIE,2002,Crime,IN,8.1,3.79
ts20358,Half&Half,SHOW,2002,Comedy,US,7.0,8.06
tm111600,TheSweetestThing,MOVIE,2002,Comedy,US,5.1,10.625
ts95855,WeddingPlanner,SHOW,2002,Drama,Country Unavailable,6.5,0.6
tm111226,AwaraPaagalDeewana,MOVIE,2002,Comedy,IN,6.2,5.941
ts126804,MyMVPValentine,SHOW,2002,Drama,Country Unavailable,6.8,0.6
tm111828,CatchMeIfYouCan,MOVIE,2002,Drama,US,8.1,72.321
tm116324,Jackass:TheMovie,MOVIE,2002,Comedy,US,6.6,25.23
ts98316,EdgeoftheUniverse,SHOW,2002,Documentation,GB,7.2,1.139
tm105278,InuyashatheMovie2:TheCastleBeyondtheLookingGlass,MOVIE,2002,Fantasy,JP,7.3,30.957
tm110923,DivineIntervention,MOVIE,2002,Romance,FR,6.6,2.894
ts20305,Naruto,SHOW,2002,Animation,JP,8.4,218.843
ts32186,SonicX,SHOW,2003,Family,JP,6.2,37.945
tm341561,LikeTwentyImpossibles,MOVIE,2003,Genre Unavailable,PS,6.5,0.812
tm137362,TheTexasChainsawMassacre,MOVIE,2003,Horror,US,6.2,80.47
tm148379,TheCatintheHat,MOVIE,2003,Family,US,4.0,66.8
tm130301,Gangaajal,MOVIE,2003,Drama,IN,7.8,2.417
tm150214,Freddyvs.Jason,MOVIE,2003,Horror,IT,5.7,65.747
ts31514,StrawberryShortcake,SHOW,2003,Animation,US,7.0,31.584
tm254052,KucchToHai,MOVIE,2003,Thriller,IN,4.3,1.84
ts12701,CodeLyoko,SHOW,2003,Action,FR,7.3,9.597
ts31593,PororotheLittlePenguin,SHOW,2003,Scifi,KR,6.3,4.404
tm135795,TheKite,MOVIE,2003,Drama,LB,6.4,1.383
tm144345,KalHoNaaHo,MOVIE,2003,Drama,IN,7.9,12.001
tm712151,LaughOutLoud,MOVIE,2003,Comedy,ZA,7.0,0.6
tm129763,AnbeSivam,MOVIE,2003,Comedy,IN,8.7,4.634
tm134140,IshqVishk,MOVIE,2003,Drama,IN,6.1,3.717
ts4924,AtDolphinBay,SHOW,2003,Drama,TW,6.9,4.171
tm141117,ChalteChalte,MOVIE,2003,Drama,IN,6.5,6.121
tm145690,OsuofiainLondon,MOVIE,2003,Comedy,NG,6.5,1.4
tm138902,InuyashatheMovie3:SwordsofanHonorableRuler,MOVIE,2003,Animation,JP,7.6,43.092
tm137342,TearsoftheSun,MOVIE,2003,War,US,6.6,43.254
tm148270,Something'sGottaGive,MOVIE,2003,Drama,US,6.7,14.619
tm136808,Identity,MOVIE,2003,Thriller,US,7.3,19.558
tm136308,Monster,MOVIE,2003,Crime,US,7.3,16.309
ts2230,America'sNextTopModel,SHOW,2003,Reality,US,5.6,14.501
tm150112,OldSchool,MOVIE,2003,Comedy,US,7.0,17.131
ts17156,ArrestedDevelopment,SHOW,2003,Comedy,US,8.7,30.131
tm133767,LoveActually,MOVIE,2003,Drama,GB,7.6,36.484
tm87672,Rabun,MOVIE,2003,Drama,MY,7.6,1.201
ts22337,NCIS,SHOW,2003,Crime,US,7.8,251.622
tm139658,BigFish,MOVIE,2003,Action,US,8.0,21.158
ts17942,Chappelle'sShow,SHOW,2003,Comedy,US,8.8,14.116
tm91125,Fida,MOVIE,2004,Romance,IN,5.4,2.932
ts98340,Metallica:SomeKindofMonster,SHOW,2004,Western,CA,6.5,0.893
ts26091,TheStaircase,SHOW,2004,Crime,FR,7.8,10.922
tm84348,DoingHardTime,MOVIE,2004,Action,US,6.5,7.867
tm85689,KrishnaCottage,MOVIE,2004,Thriller,IN,5.1,1.357
tm89936,Arahan,MOVIE,2004,Fantasy,KR,6.6,12.181
tm85243,TheTrailerParkBoysXmasSpecial,MOVIE,2004,Comedy,CA,8.0,3.971
tm81461,Whisky,MOVIE,2004,Comedy,AR,7.1,5.108
tm89677,TheTerminal,MOVIE,2004,Drama,US,7.4,21.384
tm88343,Perazhagan,MOVIE,2004,Comedy,IN,6.4,4.414
tm86924,SoulPlane,MOVIE,2004,Romance,US,4.5,21.864
tm82718,G.O.R.A.,MOVIE,2004,Action,TR,8.0,7.047
ts687,The4400,SHOW,2004,Drama,US,7.3,37.169
tm87909,Thomas&Friends:ThomasandtheJetEngine,MOVIE,2004,Animation,Country Unavailable,6.5,1.751
tm89054,OsuofiainLondon2,MOVIE,2004,Genre Unavailable,XX,6.5,1.091
tm96595,Lakshya,MOVIE,2004,War,IN,7.8,7.299
tm80339,Naruto:NinjaClashintheLandofSnow,MOVIE,2004,Comedy,JP,6.6,50.604
tm93004,Yuva,MOVIE,2004,Crime,IN,7.3,3.893
tm95477,Troy,MOVIE,2004,Action,MT,7.3,48.407
tm88366,MainHoonNa,MOVIE,2004,Drama,IN,7.0,12.629
tm89684,NewYorkMinute,MOVIE,2004,Comedy,US,4.9,11.818
tm81270,Starsky&Hutch,MOVIE,2004,Comedy,US,6.1,13.938
tm96052,PalermoHollywood,MOVIE,2004,Drama,AR,5.3,2.239
ts22456,Ned'sDeclassifiedSchoolSurvivalGuide,SHOW,2004,Family,US,7.4,33.115
tm85811,TheGirlNextDoor,MOVIE,2004,Comedy,US,6.7,37.315
tm80906,Anchorman:TheLegendofRonBurgundy,MOVIE,2004,Comedy,US,7.1,20.606
tm86051,BlackFriday,MOVIE,2004,Crime,IN,8.4,5.753
tm368679,MadnessintheDesert,MOVIE,2004,Documentation,IN,8.4,1.948
ts86241,LeRobeDeMariageDesCieux,SHOW,2004,Genre Unavailable,Country Unavailable,6.5,0.6
tm85549,Tito,MOVIE,2004,Documentation,EG,7.2,1.814
tm80487,SpookleytheSquarePumpkin,MOVIE,2004,Animation,US,6.5,1.552
ts37200,Trotro,SHOW,2004,Animation,FR,6.3,1.841
tm89036,Harold&KumarGotoWhiteCastle,MOVIE,2004,Comedy,US,7.0,15.026
tm91952,MeanGirls,MOVIE,2004,Comedy,CA,7.1,57.235
tm82765,Swades,MOVIE,2004,Drama,IN,8.1,10.352
tm89764,InuyashatheMovie4:FireontheMysticIsland,MOVIE,2004,Fantasy,JP,7.2,34.264
tm86995,ChristmaswiththeKranks,MOVIE,2004,Comedy,US,5.4,17.708
ts22318,WinxClub,SHOW,2004,Animation,IT,6.2,25.633
tm164591,Apaharan,MOVIE,2005,Crime,IN,7.4,3.86
